
번호	한국어	일본어	영어	프랑스어	독일어	중국어	스페인어	이탈리아어
0001	이상해씨	フシギダネ	Bulbasaur	Bulbizarre	Bisasam	妙蛙種子	Bulbasaur	Bulbasaur
0002	이상해풀	フシギソウ	Ivysaur	Herbizarre	Bisaknosp	妙蛙草	Ivysaur	Ivysaur
0003	이상해꽃	フシギバナ	Venusaur	Florizarre	Bisaflor	妙蛙花	Venusaur	Venusaur
0004	파이리	ヒトカゲ	Charmander	Salamèche	Glumanda	小火龍	Charmander	Charmander
0005	리자드	リザード	Charmeleon	Reptincel	Glutexo	火恐龍	Charmeleon	Charmeleon
0006	리자몽	リザードン	Charizard	Dracaufeu	Glurak	噴火龍	Charizard	Charizard
0007	꼬부기	ゼニガメ	Squirtle	Carapuce	Schiggy	傑尼龜	Squirtle	Squirtle
0008	어니부기	カメール	Wartortle	Carabaffe	Schillok	卡咪龜	Wartortle	Wartortle
0009	거북왕	カメックス	Blastoise	Tortank	Turtok	水箭龜	Blastoise	Blastoise
0010	캐터피	キャタピー	Caterpie	Chenipan	Raupy	綠毛蟲	Caterpie	Caterpie
0011	단데기	トランセル	Metapod	Chrysacier	Safcon	鐵甲蛹	Metapod	Metapod
0012	버터플	バタフリー	Butterfree	Papilusion	Smettbo	巴大蝶	Butterfree	Butterfree
0013	뿔충이	ビードル	Weedle	Aspicot	Hornliu	獨角蟲	Weedle	Weedle
0014	딱충이	コクーン	Kakuna	Coconfort	Kokuna	鐵殼蛹	Kakuna	Kakuna
0015	독침붕	スピアー	Beedrill	Dardargnan	Bibor	大針蜂	Beedrill	Beedrill
0016	구구	ポッポ	Pidgey	Roucool	Taubsi	波波	Pidgey	Pidgey
0017	피죤	ピジョン	Pidgeotto	Roucoups	Tauboga	比比鳥	Pidgeotto	Pidgeotto
0018	피죤투	ピジョット	Pidgeot	Roucarnage	Tauboss	大比鳥	Pidgeot	Pidgeot
0019	꼬렛	コラッタ	Rattata	Rattata	Rattfratz	小拉達	Rattata	Rattata
0020	레트라	ラッタ	Raticate	Rattatac	Rattikarl	拉達	Raticate	Raticate
0021	깨비참	オニスズメ	Spearow	Piafabec	Habitak	烈雀	Spearow	Spearow
0022	깨비드릴조	オニドリル	Fearow	Rapasdepic	Ibitak	大嘴雀	Fearow	Fearow
0023	아보	アーボ	Ekans	Abo	Rettan	阿柏蛇	Ekans	Ekans
0024	아보크	アーボック	Arbok	Arbok	Arbok	阿柏怪	Arbok	Arbok
0025	피카츄	ピカチュウ	Pikachu	Pikachu	Pikachu	皮卡丘	Pikachu	Pikachu
0026	라이츄	ライチュウ	Raichu	Raichu	Raichu	雷丘	Raichu	Raichu
0027	모래두지	サンド	Sandshrew	Sabelette	Sandan	穿山鼠	Sandshrew	Sandshrew
0028	고지	サンドパン	Sandslash	Sablaireau	Sandamer	穿山王	Sandslash	Sandslash
0029	니드런♀	ニドラン♀	Nidoran♀	Nidoran♀	Nidoran♀	尼多蘭	Nidoran♀	Nidoran♀
0030	니드리나	ニドリーナ	Nidorina	Nidorina	Nidorina	尼多娜	Nidorina	Nidorina
0031	니드퀸	ニドクイン	Nidoqueen	Nidoqueen	Nidoqueen	尼多后	Nidoqueen	Nidoqueen
0032	니드런♂	ニドラン♂	Nidoran♂	Nidoran♂	Nidoran♂	尼多朗	Nidoran♂	Nidoran♂
0033	니드리노	ニドリーノ	Nidorino	Nidorino	Nidorino	尼多力諾	Nidorino	Nidorino
0034	니드킹	ニドキング	Nidoking	Nidoking	Nidoking	尼多王	Nidoking	Nidoking
0035	삐삐	ピッピ	Clefairy	Mélofée	Piepi	皮皮	Clefairy	Clefairy
0036	픽시	ピクシー	Clefable	Mélodelfe	Pixi	皮可西	Clefable	Clefable
0037	식스테일	ロコン	Vulpix	Goupix	Vulpix	六尾	Vulpix	Vulpix
0038	나인테일	キュウコン	Ninetales	Feunard	Vulnona	九尾	Ninetales	Ninetales
0039	푸린	プリン	Jigglypuff	Rondoudou	Pummeluff	胖丁	Jigglypuff	Jigglypuff
0040	푸크린	プクリン	Wigglytuff	Grodoudou	Knuddeluff	胖可丁	Wigglytuff	Wigglytuff
0041	주뱃	ズバット	Zubat	Nosferapti	Zubat	超音蝠	Zubat	Zubat
0042	골뱃	ゴルバット	Golbat	Nosferalto	Golbat	大嘴蝠	Golbat	Golbat
0043	뚜벅쵸	ナゾノクサ	Oddish	Mystherbe	Myrapla	走路草	Oddish	Oddish
0044	냄새꼬	クサイハナ	Gloom	Ortide	Duflor	臭臭花	Gloom	Gloom
0045	라플레시아	ラフレシア	Vileplume	Rafflesia	Giflor	霸王花	Vileplume	Vileplume
0046	파라스	パラス	Paras	Paras	Paras	派拉斯	Paras	Paras
0047	파라섹트	パラセクト	Parasect	Parasect	Parasek	派拉斯特	Parasect	Parasect
0048	콘팡	コンパン	Venonat	Mimitoss	Bluzuk	毛球	Venonat	Venonat
0049	도나리	モルフォン	Venomoth	Aéromite	Omot	摩魯蛾	Venomoth	Venomoth
0050	디그다	ディグダ	Diglett	Taupiqueur	Digda	地鼠	Diglett	Diglett
0051	닥트리오	ダグトリオ	Dugtrio	Triopikeur	Digdri	三地鼠	Dugtrio	Dugtrio
0052	나옹	ニャース	Meowth	Miaouss	Mauzi	喵喵	Meowth	Meowth
0053	페르시온	ペルシアン	Persian	Persian	Snobilikat	貓老大	Persian	Persian
0054	고라파덕	コダック	Psyduck	Psykokwak	Enton	可達鴨	Psyduck	Psyduck
0055	골덕	ゴルダック	Golduck	Akwakwak	Entoron	哥達鴨	Golduck	Golduck
0056	망키	マンキー	Mankey	Férosinge	Menki	猴怪	Mankey	Mankey
0057	성원숭	オコリザル	Primeape	Colossinge	Rasaff	火爆猴	Primeape	Primeape
0058	가디	ガーディ	Growlithe	Caninos	Fukano	卡蒂狗	Growlithe	Growlithe
0059	윈디	ウインディ	Arcanine	Arcanin	Arkani	風速狗	Arcanine	Arcanine
0060	발챙이	ニョロモ	Poliwag	Ptitard	Quapsel	蚊香蝌蚪	Poliwag	Poliwag
0061	슈륙챙이	ニョロゾ	Poliwhirl	Têtarte	Quaputzi	蚊香君	Poliwhirl	Poliwhirl
0062	강챙이	ニョロボン	Poliwrath	Tartard	Quappo	蚊香泳士	Poliwrath	Poliwrath
0063	캐이시	ケーシィ	Abra	Abra	Abra	凱西	Abra	Abra
0064	윤겔라	ユンゲラー	Kadabra	Kadabra	Kadabra	勇基拉	Kadabra	Kadabra
0065	후딘	フーディン	Alakazam	Alakazam	Simsala	胡地	Alakazam	Alakazam
0066	알통몬	ワンリキー	Machop	Machoc	Machollo	腕力	Machop	Machop
0067	근육몬	ゴーリキー	Machoke	Machopeur	Maschock	豪力	Machoke	Machoke
0068	괴력몬	カイリキー	Machamp	Mackogneur	Machomei	怪力	Machamp	Machamp
0069	모다피	マダツボミ	Bellsprout	Chétiflor	Knofensa	喇叭芽	Bellsprout	Bellsprout
0070	우츠동	ウツドン	Weepinbell	Boustiflor	Ultrigaria	口呆花	Weepinbell	Weepinbell
0071	우츠보트	ウツボット	Victreebel	Empiflor	Sarzenia	大食花	Victreebel	Victreebel
0072	왕눈해	メノクラゲ	Tentacool	Tentacool	Tentacha	瑪瑙水母	Tentacool	Tentacool
0073	독파리	ドククラゲ	Tentacruel	Tentacruel	Tentoxa	毒刺水母	Tentacruel	Tentacruel
0074	꼬마돌	イシツブテ	Geodude	Racaillou	Kleinstein	小拳石	Geodude	Geodude
0075	데구리	ゴローン	Graveler	Gravalanch	Georok	隆隆石	Graveler	Graveler
0076	딱구리	ゴローニャ	Golem	Grolem	Geowaz	隆隆岩	Golem	Golem
0077	포니타	ポニータ	Ponyta	Ponyta	Ponita	小火馬	Ponyta	Ponyta
0078	날쌩마	ギャロップ	Rapidash	Galopa	Gallopa	烈焰馬	Rapidash	Rapidash
0079	야돈	ヤドン	Slowpoke	Ramoloss	Flegmon	呆呆獸	Slowpoke	Slowpoke
0080	야도란	ヤドラン	Slowbro	Flagadoss	Lahmus	呆殼獸	Slowbro	Slowbro
0081	코일	コイル	Magnemite	Magnéti	Magnetilo	小磁怪	Magnemite	Magnemite
0082	레어코일	レアコイル	Magneton	Magnéton	Magneton	三合一磁怪	Magneton	Magneton
0083	파오리	カモネギ	Farfetch'd	Canarticho	Porenta	大蔥鴨	Farfetch'd	Farfetch'd
0084	두두	ドードー	Doduo	Doduo	Dodu	嘟嘟	Doduo	Doduo
0085	두트리오	ドードリオ	Dodrio	Dodrio	Dodri	嘟嘟利	Dodrio	Dodrio
0086	쥬쥬	パウワウ	Seel	Otaria	Jurob	小海獅	Seel	Seel
0087	쥬레곤	ジュゴン	Dewgong	Lamantine	Jugong	白海獅	Dewgong	Dewgong
0088	질퍽이	ベトベター	Grimer	Tadmorv	Sleima	臭泥	Grimer	Grimer
0089	질뻐기	ベトベトン	Muk	Grotadmorv	Sleimok	臭臭泥	Muk	Muk
0090	셀러	シェルダー	Shellder	Kokiyas	Muschas	大舌貝	Shellder	Shellder
0091	파르셀	パルシェン	Cloyster	Crustabri	Austos	刺甲貝	Cloyster	Cloyster
0092	고오스	ゴース	Gastly	Fantominus	Nebulak	鬼斯	Gastly	Gastly
0093	고우스트	ゴースト	Haunter	Spectrum	Alpollo	鬼斯通	Haunter	Haunter
0094	팬텀	ゲンガー	Gengar	Ectoplasma	Gengar	耿鬼	Gengar	Gengar
0095	롱스톤	イワーク	Onix	Onix	Onix	大岩蛇	Onix	Onix
0096	슬리프	スリープ	Drowzee	Soporifik	Traumato	催眠貘	Drowzee	Drowzee
0097	슬리퍼	スリーパー	Hypno	Hypnomade	Hypno	引夢貘人	Hypno	Hypno
0098	크랩	クラブ	Krabby	Krabby	Krabby	大鉗蟹	Krabby	Krabby
0099	킹크랩	キングラー	Kingler	Krabboss	Kingler	巨鉗蟹	Kingler	Kingler
0100	찌리리공	ビリリダマ	Voltorb	Voltorbe	Voltobal	霹靂電球	Voltorb	Voltorb
0101	붐볼	マルマイン	Electrode	Électrode	Lektrobal	頑皮雷彈	Electrode	Electrode
0102	아라리	タマタマ	Exeggcute	Noeunoeuf	Owei	蛋蛋	Exeggcute	Exeggcute
0103	나시	ナッシー	Exeggutor	Noadkoko	Kokowei	椰蛋樹	Exeggutor	Exeggutor
0104	탕구리	カラカラ	Cubone	Osselait	Tragosso	卡拉卡拉	Cubone	Cubone
0105	텅구리	ガラガラ	Marowak	Ossatueur	Knogga	嘎啦嘎啦	Marowak	Marowak
0106	시라소몬	サワムラー	Hitmonlee	Kicklee	Kicklee	飛腿郎	Hitmonlee	Hitmonlee
0107	홍수몬	エビワラー	Hitmonchan	Tygnon	Nockchan	快拳郎	Hitmonchan	Hitmonchan
0108	내루미	ベロリンガ	Lickitung	Excelangue	Schlurp	大舌頭	Lickitung	Lickitung
0109	또가스	ドガース	Koffing	Smogo	Smogon	瓦斯彈	Koffing	Koffing
